Day	Scott_River_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Wildcat_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	McConaughy_Main_Avg_Flow_m3day	McConaughy_Branch_Avg_Flow_m3day	Miners_Avg_Flow_m3day	French_Avg_Flow_m3day	Clark_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Heartstrand_Avg_Flow_m3day	Shell_Avg_Flow_m3day	Hamlin_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	McAdams_Avg_Flow_m3day	Indian_Avg_Flow_m3day	Rattlesnake_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day	Sniktaw_Avg_Flow_m3day	Patterson_North_Avg_Flow_m3day
2011-03-29	630921.923905204	289223.254010076	139305.098159815	92396.405842175	79441.7179814793	16987.4002310044	89221.4675160514	164336.14849084	75459.4053410914	370025.275381649	136057.740804291	19331.4769900851	165424.391202915	116234.98877692	70959.883821808	209421.642811542	333247.173436962	2260480.97792293	433937.270757696	316758.632668619	137422.937372047	203474.719339777	157896.482028491	49749.6712683181	91480.1583249266
2011-03-30	630939.050027021	287253.505342154	133601.120958979	90809.5483263209	169859.078118174	64753.6219339465	95036.5198498193	162143.760239288	57055.6748357608	356480.959612658	126845.844537418	28127.9424734365	166517.527092652	113455.17454702	64668.9699603903	190583.398129807	309787.077794388	2210504.99718774	480762.779055079	281549.038823552	118908.376392667	190535.934306484	150717.945739149	46439.1919209512	73966.7414952348
2011-03-31	705068.978997291	309291.64355609	157492.550212476	104345.545693287	201125.504744151	66289.3457432304	99743.5121019803	179365.299021429	82443.927136127	364560.329909612	119418.979481719	49413.9992806906	179836.267371416	111346.214974608	62894.7037400736	186860.913223282	315168.839246168	1871352.49228914	524296.891397977	254647.082013382	126590.665322334	183872.404966089	145230.0023321	45312.2931053447	73676.0867420997
2011-04-01	785252.502712361	341440.799432329	149412.690597755	119903.64872916	122879.190065549	15103.0375132881	110373.940573127	210403.703568347	87762.566596064	363719.926646128	113179.199326871	46193.7990611915	199353.195794899	109861.135554128	63499.2558402394	195456.024445834	342940.558385796	1836961.28240808	411112.064916794	237752.162840193	100677.864376579	184368.328522153	140205.687508545	44198.11655166	70496.9892149631
2011-04-02	937398.522352225	395073.451834492	164437.681927331	138619.808628223	190130.779196053	13265.649301129	142237.334873893	247382.670456068	93259.3177229054	425165.271162656	107938.361391763	45557.6859651045	182474.179449113	110727.717318105	79699.5884442777	202209.098937447	373642.80162732	2108903.05620965	432410.84398597	223894.439041937	100934.756203845	187611.037358899	140240.184411063	44457.9442855232	70739.9354858917
2011-04-03	1015112.94861895	349310.497066458	89614.8790000929	105701.689882368	121738.101034722	18457.0661418486	94825.3792336951	201300.435845575	38449.3667752149	357954.784724515	103517.130715075	38087.7609459777	153199.520790538	109394.08174627	43613.137162143	188572.057451756	342708.377105724	1725221.16663166	420361.393992783	213525.795575718	113913.909952852	187775.692787232	151760.926557849	45093.8127227272	80247.3796835619
2011-04-04	698171.555764642	342178.445964907	64869.5902445408	100016.062097765	107088.171772955	33523.6494815532	96248.3152978651	201788.53031738	19375.515589045	313313.101617776	99737.8849476688	40753.8087952318	155283.035839106	108487.620584346	54435.1335387653	176179.595704448	331213.813459431	1441237.28260339	340340.568434981	213127.980231781	81255.6189408598	174678.368797683	143447.66236864	41549.1948242237	60086.0197619663
2011-04-05	816205.031991307	395251.318842513	132887.940314712	120237.852763489	180304.54447369	30647.1949928243	148651.801471282	239178.034810961	72463.8019762876	401344.059008612	96680.3828854381	39791.3207490755	152395.571700637	109295.484216377	74293.6057630703	180555.564487761	375624.049262748	1781551.91719677	383403.467769009	194642.778318375	72465.2699295863	167275.235653645	143702.107607075	40070.7211935875	58001.2814189825
2011-04-06	1023284.55531483	391314.268095501	79651.635303188	109157.251947419	128056.661349931	18556.3976483914	97690.0900960347	237814.550855387	34578.6185855253	352660.855811772	93750.8374190742	35860.8757919069	145543.89967913	108447.00720975	38070.8794830431	178228.369191615	327373.892289013	1560236.91675946	382602.699244589	180315.309464547	96187.6398948538	166125.58356191	150675.375093488	42499.6945851076	64593.8596832754
2011-04-07	910870.893633214	371585.954397011	73881.8448627955	99229.9731063316	130264.46311112	55252.2942083541	88245.7678902071	203659.436796525	18382.689841383	316074.566431443	94745.6204378011	49497.6726187144	177814.406361392	107998.547477008	55297.5561017295	169554.722467585	305143.696851836	1527227.05093244	294615.046476063	183734.906673781	70788.8672625138	163885.731487034	153713.059786187	40063.3814270942	55770.726381665
